"","text","score"
"1","We<e2><80><99>re in this together, folks. Much love to Tom Hanks & everyone else needing care <f0><9f><91><8a><e2><9d><a4><ef><b8><8f>

#CoronavirusPandemic #Coronavirus #COVID #TomHanks #MedicareForAll #NotMeUs ",0.746
"2","<e2><80><9c>This isn<e2><80><99>t a 3 week thing this will be a 3 to ) month wave<e2><80><9d>. Get your products folks. Stores are running out quickly. #coronavir<c3><bc>s<c3><bc> #coronavirusitalianews #covid_19 #covid #cov<c4><b1>d19 #covid2019 #coronavirusoutbreak<e2><9a><a0><ef><b8><8f><e2><80><a6> ",-0.066
"3","Today.

1.57pm: The Growth team at @chargebee jokes about our WFH 'look'. We're fans of remote: PJs, doorbell calls, doggos & darkness in the background got nothin' on us.

4:22pm: Sh*t just got real, folks. Chargebee announces all offices globally will WFH. Bringgit <e2><9a><a1><ef><b8><8f>#COVID ",0.177
"4","Diversey is proud to be helping Schools in Denver, Colorado fight against the SARS-CoV-2 (Coronavirus) & COVID-19 Disease by using Oxivir<c2><ae> Tb with AHP Technology to keep everyone safe! ",0.279
"5","Some of y<e2><80><99>all didn<e2><80><99>t drink water straight from the mangera as kids and it shows. #covid-19 <f0><9f><a4><b7><f0><9f><8f><bb><e2><80><8d><e2><99><82><ef><b8><8f>",0.125
"6","Shut up & grow up! We the people are Mad because You are trying to kill us Trump!
<e2><9a><a1><ef><b8><8f> <e2><80><9c>Trump Mad At #COVID-19 Work With Pelosi<e2><80><9d> by @thedailybeast ",0.177
"7","At this rate the only way we could be enjoying football is on our game  consoles <f0><9f><a4><a6><f0><9f><8f><be><e2><80><8d><e2><99><82><ef><b8><8f> #COVID #UEFA",0.125
"8","Your act of kindness was a wonderful thing. Thank you. <e2><9d><a4><ef><b8><8f>  #COVID ",0.746
"9","#COVID-19, #Coronavirus, is the number one trending topic these days. Here at VoiceFoundry, we are focused on helping you navigate the urgent demand for increased #customer and #agent support. Read more here<e2><9e><a1><ef><b8><8f>

",0.147
"10","Choose wisely! 
<f0><9f><99><8f><f0><9f><8f><bc><f0><9f><90><b8><f0><9f><8d><bf><f0><9f><a7><99><f0><9f><8f><bc><e2><80><8d><e2><99><82><ef><b8><8f><f0><9f><a4><aa><f0><9f><92><9a>
#HigherAwakening 
#thegreatawakening 
#coronavirushoax 
#coronavirus 
#covid19
#covid @ 8th Chakra Studio ",0.125
"11","<e2><9d><8c> to Covid-19! I<e2><80><99>m free to go! <f0><9f><98><8d><f0><9f><99><8c><f0><9f><8f><bc>
Insta highlights for the full story (@jaydetaylor) <f0><9f><a4><a3> Thanks for the support everyone. Kept me sane for the 7 days! <f0><9f><a5><b0>
- Wash your hands
- Stop panic buying!
#selfquarantine #covid #covid19 #coronavirus #washyourhands ",0.271
"12","Intermeddler Ho Ching, our in-house #China and #Covid expert praises China. <e2><ac><87><ef><b8><8f> 

Also, PM said situation in #China is stabilizing. Based on what? When there<e2><80><99>s a news blackout there? Well, here too. Why didn<e2><80><99>t we stop travelers from #Wuhan from get-go?  ",0.389
"13","#coronavirus #covid is in the air<f0><9f><8e><b6><e2><99><a5><ef><b8><8f> dispuesto a hacerte suyo! <f0><9f><a4><a3><f0><9f><a4><a3> en Around The World ",0.657
"14","Responsibility + Smart + Smile (Laugh) = That's why I LOVE @TheEllenShow <e2><9d><a4><ef><b8><8f>

#COVID19 #Covid_19 #COVID<e3><83><bc>19 #COVID #covid19Canada #COVID2019 #covidusa #USA #CANADA ",0.746
"15","WE NEED TO FOCUS PEOPLE <e2><9d><a4><ef><b8><8f>WE CAN DO IT!
#COVID19 #Covid_19 #COVID<e3><83><bc>19 #COVID #covid19Canada #COVID2019 #covidusa #USA #CANADA ",0.746
"16","Humor, the coping skills of champions. <f0><9f><98><89> Stay safe out there .........<e2><9d><a4><ef><b8><8f>

#beingunnormal #podcast #mentalhealth #coronavirus #maslowshierarchyofneeds #tolietpaper #covid #stayinformed #besafe #pnw ",0.746
"17","Closed due to #Pandemic

#Coronavirus #Covid #Piedmont #Italia #Converse #DontGiveUp #ILoveItaly #<e2><99><a5> ",0.657
